Position,Country,Gain_Earn,Players
1.,Korea Republic of Korea Republic of,817295.51,226
2.,United States United States,460310.17,243
3.,Sweden Sweden,326150.93,117
4.,Germany Germany,286697.24,97
5.,China China,192627.92,104
6.,Russian Federation Russian Federation,158388.34,151
7.,Netherlands Netherlands,124638.74,10
8.,Denmark Denmark,110968.64,26
9.,Brazil Brazil,66518.45,61
10.,France France,63487.90,41
11.,Finland Finland,55440.40,42
12.,Norway Norway,48992.54,49
13.,Canada Canada,36791.62,22
14.,Austria Austria,33292.85,17
15.,Singapore Singapore,16863.25,9
16.,Bulgaria Bulgaria,16264.26,14
17.,Poland Poland,16019.78,16
18.,United Kingdom United Kingdom,14988.84,16
19.,Venezuela Venezuela,14300.00,2
20.,Ukraine Ukraine,14137.75,68
21.,Italy Italy,10680.00,5
22.,Portugal Portugal,8928.00,18
23.,Argentina Argentina,7128.00,3
24.,Czech Republic Czech Republic,7014.17,17
25.,Spain Spain,5654.34,25
26.,Japan Japan,5278.00,11
27.,Romania Romania,3897.00,6
28.,Croatia Croatia,3802.57,1
29.,Kazakhstan Kazakhstan,3360.71,3
30.,Belarus Belarus,2802.66,9
31.,Hong Kong Hong Kong,2625.00,7
32.,Serbia Serbia,2026.50,1
33.,Thailand Thailand,1590.22,1
34.,Greece Greece,1571.40,9
35.,Peru Peru,1500.00,2
36.,Israel Israel,1200.00,2
37.,Chile Chile,1000.00,5
38.,Hungary Hungary,1000.00,5
39.,Saudi Arabia Saudi Arabia,1000.00,1
40.,Ireland Ireland,800.00,1
41.,Estonia Estonia,750.00,1
42.,Uruguay Uruguay,500.00,1
43.,Slovakia Slovakia,470.40,1
44.,Belgium Belgium,400.00,1
45.,Lithuania Lithuania,100.00,1
46.,Viet Nam Viet Nam,100.00,5
47.,Taiwan Republic of China Taiwan Republic of China,65.00,3
48.,Slovenia Slovenia,50.00,2
49.,Malta Malta,33.33,1
50.,Bahrain Bahrain,25.00,1
51.,Iran Islamic Republic of Iran Islamic Republic of,20.00,1
