Top jeux 2024,Prix année 2024,Nbe de joueurs,nbe de tournois
Rainbow Six Siege,"$3,000,000.00",102 Players,1 Tournament
Dota 2,"$2,291,433.86",283 Players,11 Tournaments
Street Fighter 6,"$1,995,175.45",98 Players,12 Tournaments
Fortnite,"$1,980,822.60",470 Players,35 Tournaments
Counter-Strike 2,"$1,620,835.90",604 Players,33 Tournaments
Madden NFL 24,"$1,125,000.00",35 Players,2 Tournaments
Rocket League,"$933,693.23",2105 Players,20 Tournaments
StarCraft II,"$665,058.57",104 Players,40 Tournaments
League of Legends: Wild Rift,"$632,075.00",41 Players,2 Tournaments
EA Sports FC 24,"$552,011.96",51 Players,5 Tournaments
World of Tanks,"$509,777.24",90 Players,2 Tournaments
Call of Duty: Modern Warfare III,"$475,000.00",64 Players,2 Tournaments
SMITE,"$400,000.00",20 Players,1 Tournament
Chess.com,"$373,330.00",122 Players,31 Tournaments
PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,"$336,787.22",120 Players,8 Tournaments
Identity V,"$282,540.00",40 Players,1 Tournament
League of Legends,"$239,141.06",91 Players,6 Tournaments
VALORANT,"$198,909.92",90 Players,5 Tournaments
Age of Empires II,"$165,739.92",152 Players,41 Tournaments
Pokemon Unite,"$108,500.00",145 Players,7 Tournaments
Tekken 7,"$101,290.00",28 Players,2 Tournaments
Minecraft,"$100,000.00",1 Player,1 Tournament
Super Smash Bros. Ultimate,"$42,312.02",24 Players,3 Tournaments
EA Sports FC Online,"$39,776.50",0 Players,1 Tournament
WarCraft III: Reforged,"$34,856.00",16 Players,4 Tournaments
Super Smash Bros. Melee,"$33,271.00",36 Players,5 Tournaments
Farming Simulator 22,"$32,601.75",30 Players,2 Tournaments
Pokémon GO,"$32,100.00",24 Players,3 Tournaments
StarCraft: Remastered,"$31,201.27",35 Players,4 Tournaments
Arena of Valor,"$28,120.00",21 Players,1 Tournament
Stormgate,"$17,331.12",69 Players,14 Tournaments
CrossFire,"$16,952.40",34 Players,1 Tournament
Mobile Legends: Bang Bang,"$14,838.60",20 Players,1 Tournament
CrossFire Mobile,"$14,091.00",16 Players,1 Tournament
Trackmania (2020),"$11,348.10",95 Players,29 Tournaments
Tetris,"$8,772.61",15 Players,5 Tournaments
Age of Empires,"$7,849.50",45 Players,5 Tournaments
Granblue Fantasy Versus: Rising,"$7,839.88",11 Players,2 Tournaments
Guilty Gear -STRIVE-,"$7,806.74",11 Players,2 Tournaments
Under Night In-Birth II [Sys:Celes],"$6,040.68",11 Players,2 Tournaments
Skullgirls 2nd Encore,"$3,840.00",8 Players,1 Tournament
King of Fighters XV,"$3,300.00",8 Players,1 Tournament
Apex Legends,"$3,264.00",9 Players,1 Tournament
Age of Empires IV,"$3,187.88",47 Players,12 Tournaments
Guilty Gear Xrd REV 2,"$2,960.00",8 Players,1 Tournament
BlazBlue: Central Fiction,"$2,924.47",11 Players,2 Tournaments
Guilty Gear XX Accent Core Plus R,"$2,846.74",11 Players,2 Tournaments
Tekken 8,"$2,695.92",11 Players,2 Tournaments
Melty Blood: Type Lumina,"$2,102.64",11 Players,2 Tournaments
osu!,"$2,065.14",27 Players,3 Tournaments
Overwatch 2,"$1,584.89",17 Players,1 Tournament
Mortal Kombat 1,"$1,550.00",8 Players,1 Tournament
Street Fighter III: 3rd Strike,"$1,550.00",8 Players,1 Tournament
Quake Champions,"$1,321.01",14 Players,2 Tournaments
Ultimate Marvel vs. Capcom 3,"$1,020.00",8 Players,1 Tournament
Samurai Shodown (2019),$945.00,3 Players,1 Tournament
Dragon Ball FighterZ,$890.00,8 Players,1 Tournament
Persona 4 Arena Ultimax,$870.00,8 Players,1 Tournament
Age of Empires III,$850.00,5 Players,2 Tournaments
Age of Mythology,$825.74,7 Players,8 Tournaments
BlazBlue: Cross Tag Battle,$810.00,8 Players,1 Tournament
Vampire Savior,$710.00,8 Players,1 Tournament
Super Street Fighter II Turbo,$671.00,3 Players,1 Tournament
DNF Duel,$550.00,3 Players,1 Tournament
Age of Empires Online,$145.00,5 Players,4 Tournaments
